Event Name,Date,Venue,Address,Latitude,Longitude,Segment,Genre,SubGenre
Suites: Toronto Sceptres VS. Ottawa Charge,2024-12-31,Coca-Cola Coliseum,45 Manitoba Drive,43.6350968,-79.4157242999999762,N/A,N/A,N/A
2025 Toronto Blue Jays - TD Executive Suites,2025-03-26,Rogers Centre,1 Blue Jays Way,43.64173840,-79.39174470,Sports,Baseball,MLB
Toronto Maple Leafs v Montreal Canadiens,2025-09-27,Scotiabank Arena,"50 Bay Street, Suite 500",43.64392540,-79.37832340,Sports,Hockey,NHL
Just For Laughs Toronto presents Patti Harrison,2025-09-26,Bluma Appel Theatre,27 Front Street East,43.64703840,-79.37545850,Arts & Theatre,Comedy,Comedy
Geary Ave Comedy Show,2025-09-25,Blood Brothers Brewing,165 Geary Ave,29.944632,-90.116745,Arts & Theatre,Comedy,Comedy
Junction Comedy Show,2025-09-26,The Alpine,"2872 Dundas St W, ",N/A,N/A,Arts & Theatre,Comedy,Comedy
Múm,2025-09-25,The Mod Club (formerly known as The Axis Club),722 College St.,43.65516550,-79.41906360,Music,Rock,Alternative Rock
jasmine.4.t,2025-09-26,The Baby G,"1608 Dundas St, West",43.65001900,-79.43540400,Music,Rock,Alternative Rock
"THE BRIDGE CITY SINNERS ""BREAK THE CHAIN"" TOUR",2025-09-25,The Opera House,735 Queen St. E.,43.65900020,-79.34877430,Music,Folk,Indie Folk
The Damned,2025-09-25,The Danforth Music Hall,147 Danforth Ave.,43.67644920,-79.35710140,Music,Rock,Alternative Rock
Lorde: Ultrasound,2025-09-24,Scotiabank Arena,"50 Bay Street, Suite 500",43.64392540,-79.37832340,Music,Rock,Pop
DRUSKI: THE COULDA FEST TOUR,2025-09-26,Scotiabank Arena,"50 Bay Street, Suite 500",43.64392540,-79.37832340,Arts & Theatre,Comedy,Comedy
Uncle Waffles,2025-09-26,History,1663 Queen St. East,43.66684147,-79.31351149,Music,Dance/Electronic,Witchstep
Bolis Pupul,2025-09-26,The Garrison,1197 Dundas Street West,43.64927320,-79.42230750,Music,Dance/Electronic,Witchstep
MILD ORANGE: THE//GLOW TOUR 2025,2025-09-24,Longboat Hall,1087 Queen Street West (Basement Of Great Hall),43.64335000,-79.42202000,Music,Pop,Pop
Michael Minelli - with Love Tour,2025-09-26,The Drake Hotel,1150 Queen Street West,43.64310780,-79.42464570,Music,Pop,Pop
U.S. Girls,2025-09-26,The Mod Club (formerly known as The Axis Club),722 College St.,43.65516550,-79.41906360,Music,Rock,Pop
Isabella Lovestory Presents: Vanity Tour,2025-09-24,The Garrison,1197 Dundas Street West,43.64927320,-79.42230750,Music,Reggae,Reggae
THE B-52s * DEVO:  COSMIC DE-EVOLUTION TOUR,2025-09-24,Budweiser Stage,909 Lakeshore Blvd. W.,43.62945440,-79.41491930,Music,Rock,Alternative Rock
SLANDER PRESENTS: VOYAGER,2025-09-26,Budweiser Stage,909 Lakeshore Blvd. W.,43.62945440,-79.41491930,Music,Dance/Electronic,Witchstep
Unified 63,2025-09-26,REBEL,11 Polson St.,43.64155480,-79.35402460,Sports,Martial Arts,Mixed Martial Arts
Jack Van Cleaf - No One's Gonna Know if You Leave San Diego,2025-09-24,Velvet Underground,508 Queen St. W.,43.64771720,-79.40148220,Music,Rock,Alternative Rock
The Man In Black: Tribute To Johnny Cash,2025-09-26,The Danforth Music Hall,147 Danforth Ave.,43.67644920,-79.35710140,Music,Undefined,Undefined
Willi Carlisle - Winged Victory Tour,2025-09-24, Horseshoe Tavern,370 Queen St. W.,43.64904380,-79.39591300,Music,Folk,Indie Folk
Toronto Blue Jays vs. Tampa Bay Rays,2025-09-26,Rogers Centre,1 Blue Jays Way,43.64173840,-79.39174470,Sports,Baseball,MLB
Toronto Blue Jays vs. Boston Red Sox,2025-09-24,Rogers Centre,1 Blue Jays Way,43.64173840,-79.39174470,Sports,Baseball,MLB
Toronto Blue Jays vs. Boston Red Sox,2025-09-25,Rogers Centre,1 Blue Jays Way,43.64173840,-79.39174470,Sports,Baseball,MLB
Symphonic Choral Concert Mid- Autumn Festival A Moonment to Remember,2025-09-26,Meridian Arts Centre: George Weston,5040 Yonge Street,43.76613790,-79.41425050,Arts & Theatre,Classical,Symphonic
Noga Erez,2025-09-26,The Opera House,735 Queen St. E.,43.65900020,-79.34877430,Music,Dance/Electronic,Witchstep
Garbage,2025-09-24,History,1663 Queen St. East,43.66684147,-79.31351149,Music,Rock,Alternative Rock
Elvis Costello & The Imposters with Charlie Sexton,2025-09-26,Massey Hall,178 Victoria St.,43.65418690,-79.37899750,Music,Rock,Pop
Matt Maltese: Tour For You My Whole Life,2025-09-25,History,1663 Queen St. East,43.66684147,-79.31351149,Music,Pop,Pop
Lainey Wilson: Whirlwind World Tour,2025-09-25,Budweiser Stage,909 Lakeshore Blvd. W.,43.62945440,-79.41491930,Music,Country,Country
Gavin James,2025-09-25,Velvet Underground,508 Queen St. W.,43.64771720,-79.40148220,Music,Rock,Pop
MJ (Touring),2025-09-26,Ed Mirvish Theatre,244 Victoria Street,0,0,Arts & Theatre,Theatre,Musical
MJ (Touring),2025-09-25,Ed Mirvish Theatre,244 Victoria Street,0,0,Arts & Theatre,Theatre,Musical
Two Dykes and a Mic,2025-09-25,Comedy Bar - Danforth,2800 Danforth Ave,0,0,Arts & Theatre,Comedy,Comedy
Two Dykes and a Mic,2025-09-26,Comedy Bar - Danforth,2800 Danforth Ave,0,0,Arts & Theatre,Comedy,Comedy
Ian Fidance,2025-09-26,Comedy Bar - Danforth,2800 Danforth Ave,0,0,Arts & Theatre,Miscellaneous,Miscellaneous
Matt Maltese: Tour For You My Whole Life,2025-09-25,History,1663 Queen St. East,43.6668414699999988,-79.3135114900000095,N/A,N/A,N/A
Pinterest Presents Operation: It's Possible,2025-09-25,TIFF Lightbox,350 King Street West,43.646631999999994,-79.3902049999999881,N/A,N/A,N/A
The Baltimorons,2025-09-26,TIFF Lightbox Cinema 2,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
Toronto Blue Jays vs. Boston Red Sox,2025-09-25,Rogers Centre,1 Blue Jays Way,43.641641999999994,-79.390043,N/A,N/A,N/A
Familiar Phantoms + Diary of A Sky,2025-09-25,TIFF Lightbox Cinema 2,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
To A Land Unknown,2025-09-25,TIFF Lightbox Cinema 2,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
Toronto Blue Jays vs. Tampa Bay Rays,2025-09-26,Rogers Centre,1 Blue Jays Way,43.641641999999994,-79.390043,N/A,N/A,N/A
Toronto Blue Jays vs. Boston Red Sox,2025-09-24,Rogers Centre,1 Blue Jays Way,43.641641999999994,-79.390043,N/A,N/A,N/A
Corona Premium Lawn Experience - Lainey Wilson,2025-09-25,Budweiser Stage,909 Lake Shore Blvd W,43.6292498,-79.417428,N/A,N/A,N/A
Garbage,2025-09-24,History,1663 Queen St. East,43.6668414699999988,-79.3135114900000095,N/A,N/A,N/A
Opening Night: Once Upon A Time in Gaza,2025-09-24,TIFF Lightbox Cinema 1,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
Eleanor the Great,2025-09-26,TIFF Lightbox Cinema 3,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
THE B-52s * DEVO: COSMIC DE-EVOLUTION TOUR,2025-09-24,Budweiser Stage,909 Lake Shore Blvd W,43.6292498,-79.417428,N/A,N/A,N/A
Lainey Wilson: Whirlwind World Tour,2025-09-25,Budweiser Stage,909 Lake Shore Blvd W,43.6292498,-79.417428,N/A,N/A,N/A
SLANDER,2025-09-26,Budweiser Stage,909 Lake Shore Blvd W,43.6292498,-79.417428,N/A,N/A,N/A
The History of Sound,2025-09-26,TIFF Lightbox Cinema 1,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
Lainey Wilson: Whirlwind World Tour - Social Pass,2025-09-25,Budweiser Stage,909 Lake Shore Blvd W,43.6292498,-79.417428,N/A,N/A,N/A
Plainclothes,2025-09-26,TIFF Lightbox Cinema 3,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
The History of Sound,2025-09-26,TIFF Lightbox Cinema 1,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
Toronto Blue Jays vs. Tampa Bay Rays,2025-09-26,Rogers Centre,1 Blue Jays Way,43.641641999999994,-79.390043,N/A,N/A,N/A
Eleanor the Great,2025-09-26,TIFF Lightbox Cinema 4,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
SLANDER,2025-09-26,Budweiser Stage,909 Lake Shore Blvd W,43.6292498,-79.417428,N/A,N/A,N/A
Toronto Blue Jays vs. Boston Red Sox,2025-09-25,Rogers Centre,1 Blue Jays Way,43.641641999999994,-79.390043,N/A,N/A,N/A
THE B-52s * DEVO: COSMIC DE-EVOLUTION TOUR,2025-09-24,Budweiser Stage,909 Lake Shore Blvd W,43.6292498,-79.417428,N/A,N/A,N/A
Toronto Blue Jays vs. Boston Red Sox,2025-09-24,Rogers Centre,1 Blue Jays Way,43.641641999999994,-79.390043,N/A,N/A,N/A
Lainey Wilson: Whirlwind World Tour,2025-09-25,Budweiser Stage,909 Lake Shore Blvd W,43.6292498,-79.417428,N/A,N/A,N/A
Plainclothes,2025-09-26,TIFF Lightbox Cinema 4,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
Eleanor the Great,2025-09-26,TIFF Lightbox Cinema 2,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
Plainclothes,2025-09-26,TIFF Lightbox Cinema 5,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
Eleanor the Great,2025-09-26,TIFF Lightbox Cinema 3,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
Lainey Wilson: Whirlwind World Tour,2025-09-25,Budweiser Stage,909 Lake Shore Blvd W,43.6292498,-79.417428,N/A,N/A,N/A
THE B-52s * DEVO: COSMIC DE-EVOLUTION TOUR,2025-09-24,Budweiser Stage,909 Lake Shore Blvd W,43.6292498,-79.417428,N/A,N/A,N/A
The History of Sound,2025-09-26,TIFF Lightbox Cinema 3,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
Peak Everything,2025-09-26,TIFF Lightbox Cinema 4,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
Plainclothes,2025-09-26,TIFF Lightbox Cinema 5,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
Peak Everything,2025-09-26,TIFF Lightbox Cinema 5,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
The History of Sound,2025-09-26,TIFF Lightbox Cinema 1,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
SLANDER,2025-09-26,Budweiser Stage,909 Lake Shore Blvd W,43.6292498,-79.417428,N/A,N/A,N/A
Gloomy Rave: Pyjama Party Edition,2025-09-26,The Dance Cave,529 Bloor Street West,43.665244,-79.409452,Music,Dance/Electronic,Dance/Electronic
"Soft Set w/ AloneKitty, Lakeshore East & Party",2025-09-26,Supermarket,268 Augusta Ave,43.656580,-79.403230,Music,Alternative,Alternative
POPOF,2025-09-26,CODA,794 Bathurst Street,43.665374,-79.411540,Music,Dance/Electronic,Techno
"IT’S MURPH - ""THROUGH MY SYSTEM TOUR""",2025-09-26,DPRTMNT,473 Adelaide St W,43.646470,-79.396890,Music,Dance/Electronic,House
Second Summer Festival Launch Event,2025-09-24,Lee's Palace,529 Bloor Street West,43.665249,-79.409447,Music,Alternative,Post-Punk
Totally 2000's Video Dance Party,2025-09-26,The Phoenix Concert Theatre,410 Sherbourne Street,43.664730,-79.374200,Music,Hip-Hop/Rap,Hip-Hop/Rap
BABYTRON,2025-09-25,Velvet Underground,508 Queen Street West,43.647910,-79.401490,Music,Hip-Hop/Rap,Hip-Hop/Rap
Emo Night Karaoke at Sneaky Dee's - LOW TICKETS,2025-09-26,Sneaky Dee's Concert Venue,"431 College Street, 2nd Floor",43.656413,-79.4074860,Music,Rock,Emo
DAM,2025-09-26,Lee's Palace,529 Bloor Street West,43.665249,-79.409447,Music,Hip-Hop/Rap,Hip-Hop/Rap
Ducks Ltd. & The Tubs with Paste,2025-09-25,Lee's Palace,529 Bloor Street West,43.665249,-79.409447,Music,Alternative,Indie Pop
Emo Night Toronto at Sneaky Dee's,2025-09-26,Sneaky Dee's Concert Venue,"431 College Street, 2nd Floor",43.656413,-79.4074860,Music,Rock,Emo
Cafuné,2025-09-24,The Great Hall,1087 Queen Street W.,43.643360,-79.422060,Music,Alternative,Indie Pop
Hand Habits,2025-09-26,The Sound Garage,165 Geary Ave,43.669849,-79.436218,Music,Alternative,Alternative Rock
Bon Jovi Forever,2025-09-26,The Rockpile Bar & Nightclub,5555A Dundas St. West,43.629420,-79.548931,Music,Rock,Hard Rock
FYE Ultra Club Opening Weekend Day 1,2025-09-26,FYE Ultra Club,"7 Saskatchewan Road, Toronto, ON ",43.632936,-79.423286,Music,Dance/Electronic,Dance/Electronic
Haru Nemuri - Presented By F7 Live,2025-09-25,The Dance Cave,529 Bloor Street West,43.665244,-79.409452,Music,Hip-Hop/Rap,Alternative Rap
Kiss CF Goodbye #9,2025-09-27,The Opera House,735 Queen St. E.,43.65900020,-79.34877430,Music,Other,Other
Just For Laughs Toronto presents Maria Bamford,2025-09-27,Bluma Appel Theatre,27 Front Street East,43.64703840,-79.37545850,Arts & Theatre,Comedy,Comedy
Just For Laughs Toronto presents Dropout Improv Live,2025-09-27,Meridian Hall,1 Front Street East,43.64681820,-79.37666570,Arts & Theatre,Performance Art,Performance Art
SOARING STRINGS / Dvorak's Love Letter,2025-09-27,Meridian Arts Centre: George Weston,5040 Yonge Street,43.76613790,-79.41425050,Music,Classical,Classical/Vocal
"Glare, Cloakroom, Destiny Bond",2025-09-27,Velvet Underground,508 Queen St. W.,43.64771720,-79.40148220,Music,Rock,Alternative Rock
Riot Ten,2025-09-27,The Mod Club (formerly known as The Axis Club),722 College St.,43.65516550,-79.41906360,Music,Dance/Electronic,Witchstep
Matthew Ifield: My Favourite Places To Be,2025-09-27,The Drake Hotel,1150 Queen Street West,43.64310780,-79.42464570,Music,Pop,Pop
THE KNOCKOUT TOUR: VIOLET VS GOTTMIK,2025-09-27,The Danforth Music Hall,147 Danforth Ave.,43.67644920,-79.35710140,Arts & Theatre,Fashion,Fashion
Toronto Blue Jays vs. Tampa Bay Rays,2025-09-27,Rogers Centre,1 Blue Jays Way,43.64173840,-79.39174470,Sports,Baseball,MLB
Toronto FC vs. Inter Miami CF,2025-09-27,BMO Field,170 Princes' Blvd,43.63264890,-79.42029240,Sports,Soccer,MLS
Masti Fest,2025-09-27,Cabana Pool Bar,11 Polson Street,43.64084800,-79.35463300,Music,Latin,Latin
$uicideboy$ present Grey Day Tour 2025 w. BONES & more,2025-09-27,Budweiser Stage,909 Lakeshore Blvd. W.,43.62945440,-79.41491930,Music,Hip-Hop/Rap,French Rap
MJ (Touring),2025-09-27,Ed Mirvish Theatre,244 Victoria Street,0,0,Arts & Theatre,Theatre,Musical
MJ (Touring),2025-09-27,Ed Mirvish Theatre,244 Victoria Street,0,0,Arts & Theatre,Theatre,Musical
Ian Fidance,2025-09-27,Comedy Bar - Danforth,2800 Danforth Ave,0,0,Arts & Theatre,Miscellaneous,Miscellaneous
Ian Fidance,2025-09-27,Comedy Bar - Danforth,2800 Danforth Ave,0,0,Arts & Theatre,Miscellaneous,Miscellaneous
Eleanor the Great,2025-09-27,TIFF Lightbox Cinema 3,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
Thank You for Banking with Us,2025-09-27,TIFF Lightbox Cinema 2,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
$uicideboy$ - Social Pass,2025-09-27,Budweiser Stage,909 Lake Shore Blvd W,43.6292498,-79.417428,N/A,N/A,N/A
Plainclothes,2025-09-27,TIFF Lightbox Cinema 4,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
Passing Dreams,2025-09-27,TIFF Lightbox Cinema 2,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
The History of Sound,2025-09-27,TIFF Lightbox Cinema 4,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
The History of Sound,2025-09-27,TIFF Lightbox Cinema 1,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
The Encampments + Panel,2025-09-27,TIFF Lightbox Cinema 2,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
Eleanor the Great,2025-09-27,TIFF Lightbox Cinema 3,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
Toronto Blue Jays vs. Tampa Bay Rays,2025-09-27,Rogers Centre,1 Blue Jays Way,43.641641999999994,-79.390043,N/A,N/A,N/A
Toronto Maple Leafs vs Montreal Canadiens,2025-09-27,Scotiabank Arena,40 Bay Street,43.644056,-79.378859,N/A,N/A,N/A
Toronto Maple Leafs vs Montreal Canadiens,2025-09-27,Scotiabank Arena,40 Bay Street,43.644056,-79.378859,N/A,N/A,N/A
Put Your Soul on Your Hand and Walk,2025-09-27,TIFF Lightbox Cinema 2,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
The History of Sound,2025-09-27,TIFF Lightbox Cinema 1,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
$uicideboy$,2025-09-27,Budweiser Stage,909 Lake Shore Blvd W,43.6292498,-79.417428,N/A,N/A,N/A
The History of Sound,2025-09-27,TIFF Lightbox Cinema 1,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
Plainclothes,2025-09-27,TIFF Lightbox Cinema 4,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
Plainclothes,2025-09-27,TIFF Lightbox Cinema 5,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
Or Something,2025-09-27,TIFF Lightbox Cinema 3,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
Eleanor the Great,2025-09-27,TIFF Lightbox Cinema 3,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
Toronto Blue Jays vs. Tampa Bay Rays,2025-09-27,Rogers Centre,1 Blue Jays Way,43.641641999999994,-79.390043,N/A,N/A,N/A
Peak Everything,2025-09-27,TIFF Lightbox Cinema 5,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
The Baltimorons,2025-09-27,TIFF Lightbox Cinema 5,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
Toronto Maple Leafs vs Montreal Canadiens,2025-09-27,Scotiabank Arena,40 Bay Street,43.644056,-79.378859,N/A,N/A,N/A
$uicideboy$,2025-09-27,Budweiser Stage,909 Lake Shore Blvd W,43.6292498,-79.417428,N/A,N/A,N/A
Corona Premium Lawn Experience - $uicideboy$,2025-09-27,Budweiser Stage,909 Lake Shore Blvd W,43.6292498,-79.417428,N/A,N/A,N/A
Eleanor the Great,2025-09-27,TIFF Lightbox Cinema 5,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
"Chris Holmes, Ryder",2025-09-27,The Rockpile Bar & Nightclub,5555A Dundas St. West,43.629420,-79.548931,Music,Rock,Rock
Tributo a Soda Stereo – Sociedad Sur (Latin Rock en Español),2025-09-27,The Dance Cave,529 Bloor Street West,43.665244,-79.409452,Music,Rock,Latin Rock
P'Tit Belliveau with The Lemon Pistols,2025-09-27,Lee's Palace,529 Bloor Street West,43.665249,-79.409447,Music,Folk,Acadian
Armen Miran,2025-09-27,Open Aera Rooftop,"8 Spadina Avenue, 39th Floor",43.643049,-79.394357,Music,Dance/Electronic,House
FYE Ultra Club Opening Weekend Day 2,2025-09-27,FYE Ultra Club,"7 Saskatchewan Road, Toronto, ON ",43.632936,-79.423286,Music,Dance/Electronic,Dance/Electronic
Sneaky 2000s Dance Party at Sneaky Dee's - Sept 27 2025,2025-09-27,Sneaky Dee's Concert Venue,"431 College Street, 2nd Floor",43.656413,-79.4074860,Music,Pop,Dance
Tukan,2025-09-27,The Garrison,1197 Dundas Street West,43.649130,-79.422350,Music,Alternative,Alternative
Maruja,2025-09-27,The Phoenix Concert Theatre,410 Sherbourne Street,43.664730,-79.374200,Music,Alternative,Alternative
Essel,2025-09-27,CODA,794 Bathurst Street,43.665374,-79.411540,Music,Dance/Electronic,Dance/Electronic
Sunnyside Sessions ft. Lee Foss,2025-09-27,Sunnyside Pavilion, Sir Casimir Gzowski Park,43.637710,-79.457430,Music,Dance/Electronic,N/A
Jok'Air,2025-09-28,The Mod Club (formerly known as The Axis Club),722 College St.,43.65516550,-79.41906360,Music,Hip-Hop/Rap,French Rap
Shawn Mendes - On The Road Again,2025-09-28,Budweiser Stage,909 Lakeshore Blvd. W.,43.62945440,-79.41491930,Music,Rock,Pop
jadu heart,2025-09-28,Lee's Palace,529 Bloor St. W.,43.66543330,-79.40949740,Music,Pop,Pop
Toronto Blue Jays vs. Tampa Bay Rays,2025-09-28,Rogers Centre,1 Blue Jays Way,43.64173840,-79.39174470,Sports,Baseball,MLB
Reza Sadeghi Live In Toronto,2025-09-28,Meridian Arts Centre: George Weston,5040 Yonge Street,43.76613790,-79.41425050,Music,World,World
York United FC vs. Valour FC,2025-09-28,York Lions Stadium,Ian MacDonald Boulevard,43.77305300,-79.50355200,Sports,Soccer,Soccer
ALI SETHI NORTH AMERICAN TOUR,2025-09-28,Massey Hall,178 Victoria St.,43.65418690,-79.37899750,Music,World,World
DJ TUNEZ BLACKOUT TORONTO,2025-09-28,The Mod Club (formerly known as The Axis Club),722 College St.,43.65516550,-79.41906360,Music,Dance/Electronic,Witchstep
FOXWARREN THE 2ER,2025-09-28,The Opera House,735 Queen St. E.,43.65900020,-79.34877430,Music,Rock,Alternative Rock
MJ (Touring),2025-09-28,Ed Mirvish Theatre,244 Victoria Street,0,0,Arts & Theatre,Theatre,Musical
Plainclothes,2025-09-28,TIFF Lightbox Cinema 5,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
Jr. Jays Sundays Run The Bases (NOT A GAME TICKET),2025-09-28,Rogers Centre,1 Blue Jays Way,43.641641999999994,-79.390043,N/A,N/A,N/A
Aisha's Story,2025-09-28,TIFF Lightbox Cinema 1,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
Toronto Blue Jays vs. Tampa Bay Rays,2025-09-28,Rogers Centre,1 Blue Jays Way,43.641641999999994,-79.390043,N/A,N/A,N/A
Eleanor the Great,2025-09-28,TIFF Lightbox Cinema 4,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
UNSILENCED: Anti-Palestinian Racism Shorts+,2025-09-28,TIFF Lightbox Cinema 1,350 King Street West,43.646688,-79.3904299999999881,N/A,N/A,N/A
